Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,736.454,0.479478,0.000147062,4072.4,-4708.6,1363.42
1,PUT,903.707,-0.520522,0.000147062,4072.45,-4571.55,-1629.44
2,CALL,704.553,0.472504,0.000148347,3994.25,-4768.08,1295.17
2,PUT,910.166,-0.527496,0.000148347,3994.3,-4635.85,-1598
3,CALL,793.963,0.50748,0.000149793,3957.28,-4888.96,1367.39
3,PUT,789.212,-0.49252,0.000149793,3957.32,-4760.67,-1426.29
4,CALL,899.799,0.545492,0.000150294,3872.47,-4958.01,1442.16
4,PUT,670.834,-0.454509,0.000150294,3872.52,-4833.78,-1251.42
5,CALL,895.034,0.548723,0.000151663,3795.69,-5036.63,1400.76
5,PUT,648.708,-0.451277,0.000151663,3795.74,-4917.23,-1193.14
6,CALL,884.124,0.550179,0.000153134,3720,-5122.51,1353.35
6,PUT,631.132,-0.449821,0.000153134,3720.04,-5008.23,-1141.15
7,CALL,914.502,0.564431,0.000154059,3622.47,-5186.7,1343.18
7,PUT,582.291,-0.435569,0.000154059,3622.51,-5076.89,-1051.43
8,CALL,810.215,0.536896,0.000156836,3578.97,-5330.01,1212.57
8,PUT,635.201,-0.463104,0.000156836,3579.01,-5225.41,-1082.36
9,CALL,877.112,0.563465,0.000157414,3467.26,-5388.81,1233.72
9,PUT,556.31,-0.436536,0.000157414,3467.29,-5288.66,-961.711
10,CALL,848.971,0.560168,0.000159309,3391.64,-5506.76,1171.16
10,PUT,549.175,-0.439832,0.000159309,3391.68,-5411.76,-924.479
11,CALL,952.54,0.597251,0.000158789,3226.26,-5490.01,1210.33
11,PUT,453.985,-0.402749,0.000158789,3226.29,-5399.2,-785.319
12,CALL,817.231,0.561661,0.000162872,3220.05,-5744.68,1068.01
12,PUT,515.099,-0.438339,0.000162872,3220.08,-5659.1,-827.535
13,CALL,755.945,0.547514,0.000165398,3152.68,-5915.59,981.954
13,PUT,530.572,-0.452486,0.000165398,3152.7,-5835.08,-814.005
14,CALL,959.231,0.617321,0.000162828,2898.18,-5746.05,1082.66
14,PUT,372.551,-0.382679,0.000162828,2898.2,-5669.44,-613.861
15,CALL,804.97,0.576824,0.000167947,2919.79,-6120.95,939.229
15,PUT,434.867,-0.423176,0.000167947,2919.8,-6049.74,-657.399
16,CALL,931.043,0.622329,0.000166501,2690.18,-5994.31,973.104
16,PUT,334.13,-0.377671,0.000166501,2690.19,-5927.16,-523.732
17,CALL,879.527,0.614038,0.000169451,2618.9,-6220.69,897.624
17,PUT,332.801,-0.385962,0.000169451,2618.92,-6158.4,-499.471
18,CALL,930.389,0.636238,0.00016952,2431.51,-6186.88,876.465
18,PUT,280.456,-0.363762,0.00016952,2431.53,-6129.29,-420.787
19,CALL,822.94,0.611555,0.000174279,2413.75,-6610.32,774.943
19,PUT,303.334,-0.388445,0.000174279,2413.77,-6557.73,-422.567
20,CALL,782.009,0.606604,0.000177158,2316.67,-6871.36,707.499
20,PUT,293.227,-0.393396,0.000177158,2316.68,-6823.52,-390.269
21,CALL,503.562,0.514444,0.000184336,2365.45,-7653.87,511.017
21,PUT,444.887,-0.485556,0.000184336,2365.46,-7611.33,-486.908
22,CALL,523.645,0.532604,0.000186694,2232.25,-7949.95,487.162
22,PUT,383.126,-0.467396,0.000186694,2232.26,-7912.01,-411.072
23,CALL,553.046,0.554356,0.000188768,2072.47,-8206.38,463.46
23,PUT,317.102,-0.445644,0.000188768,2072.47,-8173.08,-334.829
24,CALL,352.755,0.480386,0.000193092,1969.01,-8784.64,320.129
24,PUT,441.1,-0.519614,0.000193092,1969.01,-8756.28,-378.469
25,CALL,272.35,0.453044,0.000195653,1781.74,-9097.67,243.123
25,PUT,476.327,-0.546956,0.000195653,1781.75,-9073.97,-355.631
26,CALL,591.356,0.599906,0.000195144,1484.3,-8826.78,343.018
26,PUT,166.298,-0.400094,0.000195144,1484.3,-8807.29,-155.919
27,CALL,611.394,0.61691,0.000196807,1218.7,-8659.86,294.902
27,PUT,116.935,-0.38309,0.000196807,1218.71,-8644.89,-104.23
28,CALL,420.824,0.565411,0.000205973,1191.91,-10794.4,197.245
28,PUT,145.809,-0.434589,0.000205973,1191.91,-10783.9,-102.183
29,CALL,325.207,0.546834,0.000212375,992.399,-12316.5,127.665
29,PUT,128.495,-0.453166,0.000212375,992.4,-12310.3,-71.8943
30,CALL,504.521,0.615815,0.000208468,334.309,-45177.6,89.62
30,PUT,18.098,-0.384185,0.000208468,334.309,-4641.22,-10.2139
31,CALL,635.232,0.651245,0.000202084,0,-0,0
31,PUT,0,-0.348754,0.000202085,0,-0,0
