Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,647.291,0.493266,3.73757e-005,3626.97,-4210.14,1143.32
1,PUT,816.347,-0.506683,3.73757e-005,3627,-4093.65,-1402.59
2,CALL,613.974,0.491747,3.74204e-005,3539.2,-4243.02,1076.42
2,PUT,821.329,-0.508204,3.74204e-005,3539.24,-4131.31,-1370.37
3,CALL,700.835,0.500098,3.74782e-005,3496.08,-4339.42,1141.56
3,PUT,697.777,-0.499855,3.74782e-005,3496.12,-4231.76,-1202.83
4,CALL,805.079,0.508998,3.75032e-005,3395.71,-4370.57,1208.56
4,PUT,577.755,-0.490956,3.75032e-005,3395.75,-4267.05,-1033.29
5,CALL,798.46,0.50969,3.75515e-005,3307.84,-4414.56,1166.35
5,PUT,553.713,-0.490266,3.75515e-005,3307.87,-4315.84,-975.545
6,CALL,785.436,0.509958,3.76032e-005,3219.96,-4461.78,1118.74
6,PUT,533.957,-0.489999,3.76032e-005,3219.99,-4368.08,-923.394
7,CALL,814.253,0.513105,3.76374e-005,3105.72,-4477.47,1105.14
7,PUT,483.498,-0.486854,3.76373e-005,3105.74,-4388.25,-836.317
8,CALL,706.445,0.50687,3.77295e-005,3058.29,-4588.44,980.326
8,PUT,532.821,-0.493091,3.77295e-005,3058.31,-4504.29,-863.241
9,CALL,771.763,0.512659,3.77535e-005,2922.75,-4579.7,995.958
9,PUT,452.293,-0.487304,3.77535e-005,2922.77,-4500.02,-746.053
10,CALL,740.617,0.511829,3.78187e-005,2832.75,-4640.6,934.482
10,PUT,442.088,-0.488136,3.78187e-005,2832.77,-4565.96,-708.042
11,CALL,844.403,0.519719,3.7805e-005,2629.03,-4516.18,964.796
11,PUT,347.063,-0.480247,3.7805e-005,2629.05,-4445.78,-575.528
12,CALL,702.594,0.511928,3.79425e-005,2625.19,-4734.41,831.333
12,PUT,401.609,-0.48804,3.79425e-005,2625.21,-4669.09,-611.674
13,CALL,636.672,0.508885,3.80294e-005,2543.95,-4832.06,748.325
13,PUT,412.381,-0.491084,3.80294e-005,2543.96,-4771.69,-595.924
14,CALL,843.958,0.523226,3.79457e-005,2218.6,-4447.6,830.349
14,PUT,258.311,-0.476746,3.79456e-005,2218.61,-4391.26,-409.529
15,CALL,679.592,0.514635,3.81224e-005,2245.7,-4775.4,698.005
15,PUT,310.454,-0.485338,3.81224e-005,2245.71,-4724.23,-444.811
16,CALL,808.66,0.523638,3.80733e-005,1943.9,-4382.86,718.994
16,PUT,212.66,-0.476337,3.80733e-005,1943.91,-4335.87,-321.198
17,CALL,750.536,0.52165,3.81774e-005,1843.49,-4437.16,645.922
17,PUT,204.661,-0.478326,3.81774e-005,1843.5,-4394.89,-295.156
18,CALL,801.973,0.525749,3.81781e-005,1585.95,-4071.4,616.93
18,PUT,152.831,-0.474229,3.81781e-005,1585.96,-4033.73,-223.058
19,CALL,681.454,0.52058,3.83526e-005,1545.34,-4290.19,523.071
19,PUT,162.573,-0.479399,3.83526e-005,1545.35,-4257.31,-218.718
20,CALL,631.598,0.51936,3.84613e-005,1390.8,-4181.68,457.323
20,PUT,143.481,-0.480621,3.84613e-005,1390.81,-4153.42,-185.115
21,CALL,323.826,0.502296,3.87535e-005,1464.67,-4945.45,285.509
21,PUT,265.748,-0.497687,3.87535e-005,1464.67,-4922.05,-262.655
22,CALL,329.245,0.455549,3.48973e-005,1234.2,-4614.21,258.247
22,PUT,189.264,-0.444439,3.48973e-005,1234.21,-4595.25,-189.031
23,CALL,346.027,0.408961,3.10117e-005,978.579,-4037.81,233.256
23,PUT,120.115,-0.391031,3.10117e-005,978.583,-4022.83,-123.295
24,CALL,160.486,0.348669,2.72194e-005,881.013,-4337.33,128.784
24,PUT,193.964,-0.351326,2.72194e-005,881.017,-4325.99,-150.596
25,CALL,92.3024,0.295459,2.33386e-005,674.447,-3795.4,77.0357
25,PUT,206.695,-0.304538,2.33386e-005,674.449,-3787.11,-133.252
26,CALL,289.195,0.260437,1.93446e-005,355.608,-9030.36,121.341
26,PUT,26.1486,-0.239561,1.93446e-005,355.61,-1720.6,-26.4072
27,CALL,304.72,0.211815,1.53822e-005,145.141,-9058.91,90.2473
27,PUT,6.95964,-0.188184,1.53822e-005,145.142,-785.919,-7.59045
28,CALL,214.19,0.158333,1.15609e-005,91.3925,-6434.75,54.4739
28,PUT,4.19766,-0.141667,1.15609e-005,91.3934,-600.585,-4.09206
29,CALL,186.892,0.107401,7.6416e-006,14.9625,-5386.43,28.6526
29,PUT,0.387075,-0.092599,7.6416e-006,14.9634,-205.272,-0.39652
30,CALL,244.448,0.0597003,3.58332e-006,0,-6790.84,9.41806
30,PUT,0,-0.0402997,3.58332e-006,0,-0.490315,0
31,CALL,259.328,0,0,0,-0,0
31,PUT,0,0,0,0,-0,0
